date;status1;s1
2000-12-31;Normal value;294245079
2001-12-31;Normal value;323232295
2002-12-31;Normal value;339024041
2003-12-31;Normal value;349236789
2004-12-31;Normal value;358190719
2005-12-31;Normal value;403220834
2006-12-31;Normal value;416537828
2007-12-31;Normal value;452671603
2008-12-31;Normal value;467521574
2009-12-31;Normal value;475227194
2010-12-31;Normal value;473699202
2011-12-31;Normal value;472726650
2012-12-31;Normal value;476340459
2013-12-31;Normal value;481693089
2014-12-31;Normal value;488549125
2015-12-31;Normal value;502169070
2016-12-31;Normal value;513469919
2017-12-31;"Missing value; suppressed (Q)";
2018-12-31;Normal value;542346934
2019-12-31;Normal value;572014571
2020-12-31;Normal value;609491067
2021-12-31;Normal value;637740195
