date;conf;status1;s1
2000-12-31;;Normal value;35278.046
2001-12-31;;Normal value;37621.761
2002-12-31;;Normal value;40175.808
2003-12-31;;Normal value;43567.238
2004-12-31;;Normal value;46963.228
2005-12-31;;Normal value;49522.245
2006-12-31;;Normal value;52413.363
2007-12-31;;Normal value;53034.126
2008-12-31;;Normal value;55418.232
2009-12-31;;Normal value;57721.559
2010-12-31;;Normal value;60205.084
2011-12-31;;Normal value;62512.108
2012-12-31;;Normal value;64659.662
2013-12-31;;Normal value;67607.044
2014-12-31;;Normal value;68316.637
2015-12-31;;Normal value;73466.253
2016-12-31;;Normal value;77859.926
2017-12-31;;Normal value;83661.173
2018-12-31;;Normal value;90458.27
2019-12-31;;Normal value;97777.949
2020-12-31;;Normal value;101457.306
2021-12-31;;Normal value;114178.232
