date;conf;status1;s1zz;s1
2000-12-31;;"Missing value; data cannot exist";1;
2001-12-31;;"Missing value; data cannot exist";1;
2002-12-31;;Normal value;;1039.119
2003-12-31;;Normal value;;1165.263
2004-12-31;;Normal value;;1335.135
2005-12-31;;Normal value;;1476.889
2006-12-31;;Normal value;;1682.382
2007-12-31;;Normal value;;1945.659
2008-12-31;;Normal value;;2098.36
2009-12-31;;Normal value;;2157.007
2010-12-31;;Normal value;;2286.898
2011-12-31;;Normal value;;2386.274
2012-12-31;;Normal value;;2415.723
2013-12-31;;Normal value;;2496.299
2014-12-31;;Normal value;;2760.168
2015-12-31;;Normal value;;2987.243
2016-12-31;;Normal value;;3463.733
2017-12-31;;Normal value;;4038.558
2018-12-31;;Normal value;;4703.289
2019-12-31;;Normal value;;5584.6
2020-12-31;;Normal value;;5993.102
2021-12-31;;Normal value;;7639.503
