date;conf;status1;s1zz;s1
2000-12-31;;"Missing value; data cannot exist";1;
2001-12-31;;"Missing value; data cannot exist";1;
2002-12-31;;Normal value;;400.817
2003-12-31;;Normal value;;465.345
2004-12-31;;Normal value;;578.122
2005-12-31;;Normal value;;674.579
2006-12-31;;Normal value;;819.886
2007-12-31;;Normal value;;1037.453
2008-12-31;;Normal value;;1144.354
2009-12-31;;Normal value;;1169.182
2010-12-31;;Normal value;;1261.477
2011-12-31;;Normal value;;1302.223
2012-12-31;;Normal value;;1303.273
2013-12-31;;Normal value;;1310.35
2014-12-31;;Normal value;;1372.798
2015-12-31;;Normal value;;1275.1
2016-12-31;;Normal value;;1363.377
2017-12-31;;Normal value;;1519.003
2018-12-31;;Normal value;;1482.07
2019-12-31;;Normal value;;1720.942
2020-12-31;;Normal value;;1815.362
2021-12-31;;Normal value;;2364.332
