date;conf;status1;s1zz;s1
2000-12-31;;"Missing value; data cannot exist";1;
2001-12-31;;"Missing value; data cannot exist";1;
2002-12-31;;Normal value;;23914.598
2003-12-31;;Normal value;;28465.646
2004-12-31;;Normal value;;35399.844
2005-12-31;;Normal value;;42534.856
2006-12-31;;Normal value;;47374.997
2007-12-31;;Normal value;;56301.499
2008-12-31;;Normal value;;59837.9
2009-12-31;;Normal value;;57023.629
2010-12-31;;Normal value;;60636.255
2011-12-31;;Normal value;;62096.42
2012-12-31;;Normal value;;61050.583
2013-12-31;;Normal value;;60561.842
2014-12-31;;Normal value;;65713.434
2015-12-31;;Normal value;;63391.984
2016-12-31;;Normal value;;67232.523
2017-12-31;;Normal value;;73840.784
2018-12-31;;Normal value;;71716.73
2019-12-31;;Normal value;;80688.749
2020-12-31;;Normal value;;75574.784
2021-12-31;;Normal value;;94229.612
